Jahr,Rubrik,Energietraeger,TJ
"1980,""Energieumwandlung - Raffinerien"",""Kohle"","
"1980,""Energieumwandlung - Raffinerien"",""Müll und Industrieabfälle"","
"1980,""Energieumwandlung - Raffinerien"",""Rohöl"",-191970"
"1980,""Energieumwandlung - Raffinerien"",""Uebrige erneuerbare Energien"","
"1980,""Energieumwandlung - Raffinerien"",""Wasserkraft"","
"1980,""Energieumwandlung - Wasserkraftwerke"",""Elektrizität"",120750"
"1980,""Energieumwandlung - Wasserkraftwerke"",""Erdölprodukte"","
"1980,""Energieumwandlung - Wasserkraftwerke"",""Fernwärme"","
"1980,""Energieumwandlung - Wasserkraftwerke"",""Gas"","
"1980,""Energieumwandlung - Wasserkraftwerke"",""Holzenergie"","
"1980,""Energieumwandlung - Wasserkraftwerke"",""Kernbrennstoffe"","
"1980,""Energieumwandlung - Wasserkraftwerke"",""Kohle"","
"1980,""Energieumwandlung - Wasserkraftwerke"",""Müll und Industrieabfälle"","
"1980,""Energieumwandlung - Wasserkraftwerke"",""Rohöl"","
"1980,""Energieumwandlung - Wasserkraftwerke"",""Uebrige erneuerbare Energien"","
"1980,""Energieumwandlung - Wasserkraftwerke"",""Wasserkraft"",-120750"
"1980,""Energieumwandlung - konventionell-thermische Kraft-, Fernheiz- und Fernheizkraftwerke"",""Elektrizität"",3440"
"1980,""Energieumwandlung - konventionell-thermische Kraft-, Fernheiz- und Fernheizkraftwerke"",""Erdölprodukte"",-6780"
"1980,""Energieumwandlung - konventionell-thermische Kraft-, Fernheiz- und Fernheizkraftwerke"",""Fernwärme"",8800"
"1980,""Energieumwandlung - konventionell-thermische Kraft-, Fernheiz- und Fernheizkraftwerke"",""Gas"",-4360"
"1980,""Energieumwandlung - konventionell-thermische Kraft-, Fernheiz- und Fernheizkraftwerke"",""Holzenergie"",0"
"1980,""Energieumwandlung - konventionell-thermische Kraft-, Fernheiz- und Fernheizkraftwerke"",""Kernbrennstoffe"","
"1980,""Energieumwandlung - konventionell-thermische Kraft-, Fernheiz- und Fernheizkraftwerke"",""Kohle"",-670"
"1980,""Energieumwandlung - konventionell-thermische Kraft-, Fernheiz- und Fernheizkraftwerke"",""Müll und Industrieabfälle"",-6400"
"1980,""Energieumwandlung - konventionell-thermische Kraft-, Fernheiz- und Fernheizkraftwerke"",""Rohöl"","
"1980,""Energieumwandlung - konventionell-thermische Kraft-, Fernheiz- und Fernheizkraftwerke"",""Uebrige erneuerbare Energien"","
"1980,""Energieumwandlung - konventionell-thermische Kraft-, Fernheiz- und Fernheizkraftwerke"",""Wasserkraft"","
"1980,""Export"",""Elektrizität"",-65260"
"1980,""Export"",""Erdölprodukte"",-1970"
"1980,""Export"",""Fernwärme"","
"1980,""Export"",""Gas"",-580"
"1980,""Export"",""Holzenergie"","
"1980,""Export"",""Kernbrennstoffe"","
"1980,""Export"",""Kohle"","
"1980,""Export"",""Müll und Industrieabfälle"","
"1980,""Export"",""Rohöl"","
"1980,""Export"",""Uebrige erneuerbare Energien"","
"1980,""Export"",""Wasserkraft"","
"1980,""Import"",""Elektrizität"",35810"
"1980,""Import"",""Erdölprodukte"",338250"
"1980,""Import"",""Fernwärme"","
"1980,""Import"",""Gas"",36860"
"1980,""Import"",""Holzenergie"",220"
"1980,""Import"",""Kernbrennstoffe"",149050"
"1980,""Import"",""Kohle"",22100"
"1980,""Import"",""Müll und Industrieabfälle"","
"1980,""Import"",""Rohöl"",192810"
"1980,""Import"",""Uebrige erneuerbare Energien"","
"1980,""Import"",""Wasserkraft"","
"1980,""Inlandproduktion"",""Elektrizität"","
"1980,""Inlandproduktion"",""Erdölprodukte"","
"1980,""Inlandproduktion"",""Fernwärme"","
"1980,""Inlandproduktion"",""Gas"",0"
"1980,""Inlandproduktion"",""Holzenergie"",26060"
"1980,""Inlandproduktion"",""Kernbrennstoffe"","
"1980,""Inlandproduktion"",""Kohle"",0"
"1980,""Inlandproduktion"",""Müll und Industrieabfälle"",10100"
"1980,""Inlandproduktion"",""Rohöl"",0"
"1980,""Inlandproduktion"",""Uebrige erneuerbare Energien"","
"1980,""Inlandproduktion"",""Wasserkraft"",120750"
"1980,""Lagerveränderung"",""Elektrizität"","
"1980,""Lagerveränderung"",""Erdölprodukte"",-15030"
"1980,""Lagerveränderung"",""Fernwärme"","
"1980,""Lagerveränderung"",""Gas"","
"1980,""Lagerveränderung"",""Holzenergie"","
"1980,""Lagerveränderung"",""Kernbrennstoffe"","
"1980,""Lagerveränderung"",""Kohle"",-7800"
"1980,""Lagerveränderung"",""Müll und Industrieabfälle"","
"1980,""Lagerveränderung"",""Rohöl"",-840"
"1980,""Lagerveränderung"",""Uebrige erneuerbare Energien"","
"1980,""Lagerveränderung"",""Wasserkraft"","
"1980,""Nichtenergetischer Verbrauch"",""Elektrizität"","
"1980,""Nichtenergetischer Verbrauch"",""Erdölprodukte"",-6320"
"1980,""Nichtenergetischer Verbrauch"",""Fernwärme"","
"1980,""Nichtenergetischer Verbrauch"",""Gas"","
"1980,""Nichtenergetischer Verbrauch"",""Holzenergie"","
"1980,""Nichtenergetischer Verbrauch"",""Kernbrennstoffe"","
"1980,""Nichtenergetischer Verbrauch"",""Kohle"","
"1980,""Nichtenergetischer Verbrauch"",""Müll und Industrieabfälle"","
"1980,""Nichtenergetischer Verbrauch"",""Rohöl"","
"1980,""Nichtenergetischer Verbrauch"",""Uebrige erneuerbare Energien"","
"1980,""Nichtenergetischer Verbrauch"",""Wasserkraft"","
"1981,""Bruttoverbrauch"",""Elektrizität"",-38560"
"1981,""Bruttoverbrauch"",""Erdölprodukte"",340250"
"1981,""Bruttoverbrauch"",""Fernwärme"",0"
"1981,""Bruttoverbrauch"",""Gas"",39140"
"1981,""Bruttoverbrauch"",""Holzenergie"",25480"
"1981,""Bruttoverbrauch"",""Kernbrennstoffe"",157770"
"1981,""Bruttoverbrauch"",""Kohle"",21150"
"1981,""Bruttoverbrauch"",""Müll und Industrieabfälle"",14040"
"1981,""Bruttoverbrauch"",""Rohöl"",168430"
"1981,""Bruttoverbrauch"",""Uebrige erneuerbare Energien"","
"1981,""Bruttoverbrauch"",""Wasserkraft"",129950"
"1981,""Eigenverbrauch des Energiesektors, Netzverluste, Verbrauch der Speicherungen"",""Elektrizität"",-16590"
"1981,""Eigenverbrauch des Energiesektors, Netzverluste, Verbrauch der Speicherungen"",""Erdölprodukte"",-7790"
"1981,""Eigenverbrauch des Energiesektors, Netzverluste, Verbrauch der Speicherungen"",""Fernwärme"",-1000"
"1981,""Eigenverbrauch des Energiesektors, Netzverluste, Verbrauch der Speicherungen"",""Gas"",-2170"
"1981,""Eigenverbrauch des Energiesektors, Netzverluste, Verbrauch der Speicherungen"",""Holzenergie"","
"1981,""Eigenverbrauch des Energiesektors, Netzverluste, Verbrauch der Speicherungen"",""Kernbrennstoffe"","
"1981,""Eigenverbrauch des Energiesektors, Netzverluste, Verbrauch der Speicherungen"",""Kohle"","
"1981,""Eigenverbrauch des Energiesektors, Netzverluste, Verbrauch der Speicherungen"",""Müll und Industrieabfälle"","
"1981,""Eigenverbrauch des Energiesektors, Netzverluste, Verbrauch der Speicherungen"",""Rohöl"","
"1981,""Eigenverbrauch des Energiesektors, Netzverluste, Verbrauch der Speicherungen"",""Uebrige erneuerbare Energien"","
"1981,""Eigenverbrauch des Energiesektors, Netzverluste, Verbrauch der Speicherungen"",""Wasserkraft"","
"1981,""Endverbrauch - Dienstleistungen"",""Elektrizität"",34470"
"1981,""Endverbrauch - Dienstleistungen"",""Erdölprodukte"",74000"
"1981,""Endverbrauch - Dienstleistungen"",""Fernwärme"",4860"
"1981,""Endverbrauch - Dienstleistungen"",""Gas"",5960"
"1981,""Endverbrauch - Dienstleistungen"",""Holzenergie"",1050"
"1981,""Endverbrauch - Dienstleistungen"",""Kernbrennstoffe"","
"1981,""Endverbrauch - Dienstleistungen"",""Kohle"",30"
"1981,""Endverbrauch - Dienstleistungen"",""Müll und Industrieabfälle"",0"
"1981,""Endverbrauch - Dienstleistungen"",""Rohöl"","
"1981,""Endverbrauch - Dienstleistungen"",""Uebrige erneuerbare Energien"","
"1981,""Endverbrauch - Dienstleistungen"",""Wasserkraft"","
"1981,""Endverbrauch - Haushalte"",""Elektrizität"",36620"
"1981,""Endverbrauch - Haushalte"",""Erdölprodukte"",152670"
"1981,""Endverbrauch - Haushalte"",""Fernwärme"",2220"
"1981,""Endverbrauch - Haushalte"",""Gas"",12210"
"1981,""Endverbrauch - Haushalte"",""Holzenergie"",22670"
"1981,""Endverbrauch - Haushalte"",""Kernbrennstoffe"","
"1981,""Endverbrauch - Haushalte"",""Kohle"",3060"
"1981,""Endverbrauch - Haushalte"",""Müll und Industrieabfälle"",0"
"1981,""Endverbrauch - Haushalte"",""Rohöl"","
"1981,""Endverbrauch - Haushalte"",""Uebrige erneuerbare Energien"","
"1981,""Endverbrauch - Haushalte"",""Wasserkraft"","
"1981,""Endverbrauch - Industrie"",""Elektrizität"",49370"
"1981,""Endverbrauch - Industrie"",""Erdölprodukte"",54490"
"1981,""Endverbrauch - Industrie"",""Fernwärme"",1240"
"1981,""Endverbrauch - Industrie"",""Gas"",13260"
"1981,""Endverbrauch - Industrie"",""Holzenergie"",1760"
"1981,""Endverbrauch - Industrie"",""Kernbrennstoffe"","
"1981,""Endverbrauch - Industrie"",""Kohle"",17020"
"1981,""Endverbrauch - Industrie"",""Müll und Industrieabfälle"",4600"
"1981,""Endverbrauch - Industrie"",""Rohöl"","
"1981,""Endverbrauch - Industrie"",""Uebrige erneuerbare Energien"","
"1981,""Endverbrauch - Industrie"",""Wasserkraft"","
"1981,""Endverbrauch - Statistische Differenz inkl. Landwirtschaft"",""Elektrizität"",2260"
"1981,""Endverbrauch - Statistische Differenz inkl. Landwirtschaft"",""Erdölprodukte"",2930"
"1981,""Endverbrauch - Statistische Differenz inkl. Landwirtschaft"",""Fernwärme"",0"
"1981,""Endverbrauch - Statistische Differenz inkl. Landwirtschaft"",""Gas"",1570"
"1981,""Endverbrauch - Statistische Differenz inkl. Landwirtschaft"",""Holzenergie"",0"
"1981,""Endverbrauch - Statistische Differenz inkl. Landwirtschaft"",""Kernbrennstoffe"","
"1981,""Endverbrauch - Statistische Differenz inkl. Landwirtschaft"",""Kohle"",0"
"1981,""Endverbrauch - Statistische Differenz inkl. Landwirtschaft"",""Müll und Industrieabfälle"",0"
"1981,""Endverbrauch - Statistische Differenz inkl. Landwirtschaft"",""Rohöl"","
"1981,""Endverbrauch - Statistische Differenz inkl. Landwirtschaft"",""Uebrige erneuerbare Energien"","
"1981,""Endverbrauch - Statistische Differenz inkl. Landwirtschaft"",""Wasserkraft"","
"1981,""Endverbrauch - Total"",""Elektrizität"",130300"
"1981,""Endverbrauch - Total"",""Erdölprodukte"",465710"
"1981,""Endverbrauch - Total"",""Fernwärme"",8320"
"1981,""Endverbrauch - Total"",""Gas"",33370"
"1981,""Endverbrauch - Total"",""Holzenergie"",25480"
"1981,""Endverbrauch - Total"",""Kernbrennstoffe"",0"
"1981,""Endverbrauch - Total"",""Kohle"",20110"
"1981,""Endverbrauch - Total"",""Müll und Industrieabfälle"",4600"
"1981,""Endverbrauch - Total"",""Rohöl"",0"
"1981,""Endverbrauch - Total"",""Uebrige erneuerbare Energien"","
"1981,""Endverbrauch - Total"",""Wasserkraft"",0"
"1981,""Endverbrauch - Verkehr"",""Elektrizität"",7580"
"1981,""Endverbrauch - Verkehr"",""Erdölprodukte"",181620"
"1981,""Endverbrauch - Verkehr"",""Fernwärme"","
"1981,""Endverbrauch - Verkehr"",""Gas"",370"
"1981,""Endverbrauch - Verkehr"",""Holzenergie"","
"1981,""Endverbrauch - Verkehr"",""Kernbrennstoffe"","
"1981,""Endverbrauch - Verkehr"",""Kohle"","
"1981,""Endverbrauch - Verkehr"",""Müll und Industrieabfälle"","
"1981,""Endverbrauch - Verkehr"",""Rohöl"","
"1981,""Endverbrauch - Verkehr"",""Uebrige erneuerbare Energien"","
"1981,""Endverbrauch - Verkehr"",""Wasserkraft"","
"1981,""Energieumwandlung - Diverse Erneuerbare"",""Elektrizität"","
"1981,""Energieumwandlung - Diverse Erneuerbare"",""Erdölprodukte"","
"1981,""Energieumwandlung - Diverse Erneuerbare"",""Fernwärme"",0"
"1981,""Energieumwandlung - Diverse Erneuerbare"",""Gas"","
"1981,""Energieumwandlung - Diverse Erneuerbare"",""Holzenergie"",0"
"1981,""Energieumwandlung - Diverse Erneuerbare"",""Kernbrennstoffe"","
"1981,""Energieumwandlung - Diverse Erneuerbare"",""Kohle"","
"1981,""Energieumwandlung - Diverse Erneuerbare"",""Müll und Industrieabfälle"","
"1981,""Energieumwandlung - Diverse Erneuerbare"",""Rohöl"","
"1981,""Energieumwandlung - Diverse Erneuerbare"",""Uebrige erneuerbare Energien"","
"1981,""Energieumwandlung - Diverse Erneuerbare"",""Wasserkraft"","
"1981,""Energieumwandlung - Gaswerke"",""Elektrizität"","
"1981,""Energieumwandlung - Gaswerke"",""Erdölprodukte"",-760"
"1981,""Energieumwandlung - Gaswerke"",""Fernwärme"","
"1981,""Energieumwandlung - Gaswerke"",""Gas"",560"
"1981,""Energieumwandlung - Gaswerke"",""Holzenergie"","
"1981,""Energieumwandlung - Gaswerke"",""Kernbrennstoffe"","
"1981,""Energieumwandlung - Gaswerke"",""Kohle"","
"1981,""Energieumwandlung - Gaswerke"",""Müll und Industrieabfälle"","
"1981,""Energieumwandlung - Gaswerke"",""Rohöl"","
"1981,""Energieumwandlung - Gaswerke"",""Uebrige erneuerbare Energien"","
"1981,""Energieumwandlung - Gaswerke"",""Wasserkraft"","
"1981,""Energieumwandlung - Kernkraftwerke"",""Elektrizität"",52060"
"1981,""Energieumwandlung - Kernkraftwerke"",""Erdölprodukte"","
"1981,""Energieumwandlung - Kernkraftwerke"",""Fernwärme"",430"
"1981,""Energieumwandlung - Kernkraftwerke"",""Gas"","
"1981,""Energieumwandlung - Kernkraftwerke"",""Holzenergie"","
"1981,""Energieumwandlung - Kernkraftwerke"",""Kernbrennstoffe"",-157770"
"1981,""Energieumwandlung - Kernkraftwerke"",""Kohle"","
"1981,""Energieumwandlung - Kernkraftwerke"",""Müll und Industrieabfälle"","
"1981,""Energieumwandlung - Kernkraftwerke"",""Rohöl"","
"1981,""Energieumwandlung - Kernkraftwerke"",""Uebrige erneuerbare Energien"","
"1981,""Energieumwandlung - Kernkraftwerke"",""Wasserkraft"","
"1981,""Energieumwandlung - Raffinerien"",""Elektrizität"","
"1981,""Energieumwandlung - Raffinerien"",""Erdölprodukte"",166880"
"1981,""Energieumwandlung - Raffinerien"",""Fernwärme"","
"1981,""Energieumwandlung - Raffinerien"",""Gas"","
"1981,""Energieumwandlung - Raffinerien"",""Holzenergie"","
"1981,""Energieumwandlung - Raffinerien"",""Kernbrennstoffe"","
"1981,""Energieumwandlung - Raffinerien"",""Kohle"","
"1981,""Energieumwandlung - Raffinerien"",""Müll und Industrieabfälle"","
"1981,""Energieumwandlung - Raffinerien"",""Rohöl"",-168430"
"1981,""Energieumwandlung - Raffinerien"",""Uebrige erneuerbare Energien"","
"1981,""Energieumwandlung - Raffinerien"",""Wasserkraft"","
"1981,""Energieumwandlung - Wasserkraftwerke"",""Elektrizität"",129950"
